,Text ID,Negative,Neutral,Positive,GPE
80,7628,0.0,1.0,0.0,Florida
81,8918,0.277,0.723,0.0,U.S.
82,7711,0.0,1.0,0.0,the United States of America
83,9295,0.253,0.68,0.066,The Empire Files:
84,7474,0.087,0.752,0.162,Palestine
85,7661,0.261,0.739,0.0,Blogs
86,7443,0.0,0.448,0.552,Oklahoma
87,8210,0.378,0.488,0.134,PARIS
88,9756,0.262,0.738,0.0,US
89,6851,0.0,0.707,0.293,Russia
90,9239,0.143,0.714,0.143,U.S.
91,6815,0.0,1.0,0.0,Finland
92,7154,0.0,0.635,0.365,Canada
93,7757,0.0,1.0,0.0,U.S.
94,9557,0.0,1.0,0.0,Presidential City
95,5297,0.0,1.0,0.0,Alaska
96,8142,0.0,1.0,0.0,Quebec
97,6176,0.291,0.598,0.111,US
98,9402,0.0,0.859,0.141,US
99,6948,0.0,1.0,0.0,Media
100,9991,0.0,1.0,0.0,Wisconsin
101,10555,0.0,1.0,0.0,Italy
102,8549,0.0,0.783,0.217,Rome
103,6035,0.0,1.0,0.0,Sledgehammer
104,9134,0.0,0.673,0.327,North Carolina
105,6407,0.0,1.0,0.0,US
106,6841,0.0,1.0,0.0,US
107,8756,0.0,1.0,0.0,Pakistan
108,5918,0.0,1.0,0.0,India
109,5307,0.208,0.566,0.226,The United States of America
110,8484,0.51,0.49,0.0,South Korea - NCI
111,9948,0.0,1.0,0.0,Hollywood
112,6058,0.277,0.723,0.0,Syria
113,8767,0.283,0.641,0.076,Moscow
114,9394,0.0,1.0,0.0,Texas
115,8428,0.0,1.0,0.0,Suburbs
116,10357,0.242,0.758,0.0,Florida
117,10257,0.0,1.0,0.0,U.S.
118,7577,0.2,0.581,0.219,Hidden
119,9485,0.0,0.769,0.231,Colombia
120,6698,0.464,0.536,0.0,France
121,8516,0.0,1.0,0.0,US
122,10048,0.0,1.0,0.0,Mosul
123,5724,0.0,1.0,0.0,the United States
124,7892,0.287,0.713,0.0,US
125,9935,0.0,0.903,0.097,Saudi Arabia
126,6810,0.0,1.0,0.0,US
127,5847,0.0,1.0,0.0,Maryland
128,7815,0.0,0.817,0.183,Undemocratic
129,10183,0.359,0.641,0.0,Turkey
130,6768,0.0,0.885,0.115,Oregon
131,10203,0.0,0.758,0.242,US
132,9953,0.0,0.667,0.333,Norway
133,9625,0.1,0.747,0.154,Russia
134,6872,0.16,0.84,0.0,Syria
135,8643,0.0,0.87,0.13,China
136,9265,0.0,1.0,0.0,Russia
137,5468,0.0,0.764,0.236,Berkeley
138,9044,0.0,0.826,0.174,France
139,6203,0.343,0.657,0.0,US
140,6316,0.0,1.0,0.0,US
141,6850,0.354,0.442,0.204,France
142,6327,0.0,0.75,0.25,Yemen
143,6442,0.0,0.806,0.194,U.S.
144,6801,0.0,0.676,0.324,U.S.
145,9196,0.0,0.822,0.178,US
146,9676,0.792,0.208,0.0,The United States
147,10194,0.111,0.554,0.335,US
148,8772,0.0,1.0,0.0,Malaysia
149,6862,0.0,1.0,0.0,China
150,6871,0.412,0.588,0.0,US
151,7391,0.0,0.769,0.231,Michigan
152,9283,0.0,1.0,0.0,Warsaw
153,8646,0.0,0.621,0.379,London
154,6784,0.0,0.807,0.193,U.S.
155,9508,0.0,0.625,0.375,Russia
156,8197,0.0,0.778,0.222,Tokyo
157,5575,0.0,1.0,0.0,New York
158,8114,0.381,0.619,0.0,Kiev
159,10246,0.0,1.0,0.0,Pakistan
160,9029,0.508,0.492,0.0,Balochistan
161,6448,0.167,0.833,0.0,United States
162,8294,0.0,1.0,0.0,Saudi Arabia
163,7338,0.0,1.0,0.0,Obama
164,5926,0.0,1.0,0.0,North Korea
165,5914,0.14,0.698,0.163,Israel
166,9961,0.0,1.0,0.0,US
167,6391,0.141,0.859,0.0,Russia
168,9521,0.0,1.0,0.0,Palestine
169,9340,0.212,0.481,0.308,Philippines
170,8145,0.154,0.846,0.0,Russia
171,7844,0.0,1.0,0.0,China
172,7928,0.0,1.0,0.0,California
173,9168,0.0,1.0,0.0,Russia
174,6455,0.61,0.39,0.0,Syria
175,6135,0.157,0.843,0.0,Turkey
176,10021,0.0,0.881,0.119,Russia
177,6775,0.448,0.552,0.0,America
178,8263,0.0,0.584,0.416,Agree
179,6494,0.0,1.0,0.0,Ukraine
180,8521,0.0,1.0,0.0,U.S.
181,5722,0.0,0.647,0.353,US
182,8340,0.0,1.0,0.0,America
183,7006,0.233,0.727,0.04,Florida
184,6287,0.0,0.69,0.31,US
185,7119,0.227,0.622,0.151,Tennessee
186,6804,0.0,1.0,0.0,US
187,5352,0.0,1.0,0.0,DC
188,7771,0.0,1.0,0.0,Russia
189,10454,0.0,0.927,0.073,Kuznetsov
190,9814,0.0,0.774,0.226,Seattle
191,6429,0.0,1.0,0.0,California
192,6918,0.266,0.734,0.0,VOTE HILLARY
193,9825,0.0,1.0,0.0,United States
194,7713,0.138,0.862,0.0,Aliens
195,6995,0.0,1.0,0.0,Obama
196,9645,0.0,0.79,0.21,Iran
197,9251,0.0,1.0,0.0,D.C.
198,8146,0.13,0.87,0.0,Australia
199,9722,0.0,0.904,0.096,GEORGIA
200,6170,0.244,0.756,0.0,Saudi Arabia Re-Elected
201,5438,0.259,0.741,0.0,Russia
202,6329,0.209,0.791,0.0,Mosul
203,9769,0.0,0.811,0.189,US
204,7877,0.25,0.613,0.137,Ethiopia
205,5305,0.19,0.634,0.176,Russia
206,8824,0.0,1.0,0.0,Syria
207,9453,0.199,0.676,0.125,US
208,5434,0.0,1.0,0.0,Venezuela
209,6665,0.192,0.563,0.244,Obama
210,9554,0.0,0.734,0.266,Leaked
211,8925,0.209,0.663,0.128,America
212,7953,0.338,0.662,0.0,Iran
213,6588,0.0,0.748,0.252,Tsunami
214,9586,0.316,0.586,0.098,New Zealand
215,6299,0.321,0.679,0.0,US
216,10314,0.583,0.417,0.0,Israel
217,9648,0.0,0.917,0.083,Miami
218,9437,0.214,0.66,0.126,Iran
219,9444,0.268,0.732,0.0,Finland
220,9560,0.225,0.775,0.0,Tehran
221,8133,0.23,0.618,0.152,Rattles Rome
222,10548,0.376,0.485,0.139,Pakistan
223,10363,0.324,0.676,0.0,Standing Rock
224,5685,0.0,0.625,0.375,North Dakota
225,6128,0.201,0.575,0.224,Jerusalem
226,7303,0.0,1.0,0.0,Israel
227,8367,0.0,1.0,0.0,U.S.
228,9553,0.313,0.687,0.0,U.S.
229,6917,0.369,0.631,0.0,Stupid
230,7811,0.291,0.709,0.0,FLORIDA
231,7529,0.0,1.0,0.0,California
232,8353,0.0,0.8,0.2,Jerusalem
233,10250,0.0,1.0,0.0,Old City
234,8696,0.297,0.703,0.0,India
235,9749,0.0,1.0,0.0,Danger
236,7253,0.347,0.502,0.151,Swansea City
237,5869,0.169,0.465,0.366,America
238,6369,0.103,0.761,0.136,U.S.
239,7701,0.0,1.0,0.0,America
240,6113,0.0,0.8,0.2,illuminati
241,9696,0.594,0.406,0.0,North Carolina
242,10124,0.145,0.855,0.0,Paris
243,9390,0.361,0.508,0.131,U.S.
244,8552,0.328,0.672,0.0,Syria
245,7863,0.431,0.569,0.0,Britain
246,8614,0.409,0.591,0.0,America
247,10518,0.0,1.0,0.0,New York
248,9231,0.0,1.0,0.0,Russia
249,8088,0.0,1.0,0.0,France
250,9307,0.183,0.817,0.0,Morocco
251,8483,0.0,1.0,0.0,Spain
252,10531,0.226,0.774,0.0,Israel
253,5330,0.103,0.897,0.0,Israel
254,6975,0.26,0.74,0.0,Mosul
255,9618,0.4,0.6,0.0,California
256,7589,0.0,0.763,0.237,Standing Rock
257,9640,0.0,1.0,0.0,Jynxster
258,8059,0.437,0.563,0.0,Russia
259,8692,0.0,1.0,0.0,Paris
260,9614,0.231,0.769,0.0,Germany
261,7147,0.0,1.0,0.0,DC
262,10396,0.529,0.471,0.0,Cleveland
263,10442,0.236,0.764,0.0,US
264,9738,0.516,0.484,0.0,Russia
265,7410,0.211,0.789,0.0,Abu Dhabi
266,5551,0.356,0.532,0.112,Wales
267,8648,0.28,0.72,0.0,Obama
268,9968,0.412,0.588,0.0,Britain
269,6818,0.1,0.9,0.0,Russia
270,7103,0.334,0.666,0.0,US
271,7938,0.0,0.902,0.098,Germany
272,6132,0.0,0.87,0.13,US
273,6865,0.0,1.0,0.0,Turkey
274,7986,0.0,0.821,0.179,Guatemala
275,6622,0.166,0.662,0.172,Iceland
276,9785,0.0,1.0,0.0,Washington DC
277,5485,0.439,0.561,0.0,Islamophobia
278,9748,0.0,1.0,0.0,US
279,6351,0.0,0.756,0.244,Iran
280,9652,0.0,1.0,0.0,Yemen
281,6893,0.0,1.0,0.0,America
282,7831,0.149,0.851,0.0,Russia
283,9253,0.0,1.0,0.0,US
284,8577,0.0,1.0,0.0,Mosul
285,10130,0.366,0.484,0.151,Britain
286,10391,0.219,0.781,0.0,Arizona
287,9742,0.0,0.721,0.279,Syria
288,7946,0.281,0.719,0.0,Oregon
289,6939,0.265,0.735,0.0,Mosul
290,7317,0.162,0.838,0.0,Canada
291,6814,0.0,1.0,0.0,Saudi Arabia
292,5871,0.294,0.706,0.0,US
293,6863,0.186,0.814,0.0,China
294,10300,0.0,1.0,0.0,US
295,9765,0.0,0.847,0.153,Yemen
296,9569,0.0,0.833,0.167,Russia
297,6220,0.423,0.577,0.0,Iran
298,5849,0.0,0.84,0.16,Russia
299,5772,0.483,0.517,0.0,Syria
300,8902,0.0,1.0,0.0,Moscow
301,5760,0.0,0.867,0.133,Russia
302,7169,0.0,0.709,0.291,Russia
303,7966,0.091,0.909,0.0,the United States
304,6895,0.0,1.0,0.0,US
305,9302,0.333,0.667,0.0,Russia
306,9565,0.0,1.0,0.0,US
307,5826,0.0,1.0,0.0,Russia
308,6437,0.0,1.0,0.0,Russia
309,7588,0.0,1.0,0.0,India
310,9443,0.0,0.806,0.194,U.S.
311,6745,0.0,1.0,0.0,North Dakota
312,7314,0.339,0.661,0.0,Russia
313,10056,0.0,0.804,0.196,Israel
314,9835,0.574,0.426,0.0,Israel
315,6787,0.0,1.0,0.0,Jerusalem
316,5821,0.0,1.0,0.0,Temple Mount
317,6752,0.391,0.447,0.162,Tokyo
318,8524,0.0,0.656,0.344,US
319,7047,0.0,1.0,0.0,Syria
320,10133,0.174,0.826,0.0,Fury
321,9930,0.0,1.0,0.0,America
322,9189,0.0,1.0,0.0,Russia
323,5401,0.0,1.0,0.0,Russia
324,10061,0.223,0.777,0.0,U.S.
325,6323,0.0,1.0,0.0,Russia
326,6742,0.0,0.654,0.346,India
327,5891,0.0,1.0,0.0,Virginia
328,6074,0.0,1.0,0.0,US
329,6982,0.331,0.424,0.246,Mosul
330,7498,0.0,0.702,0.298,Syria
331,10060,0.0,0.612,0.388,Mexico
332,9093,0.0,1.0,0.0,Ohio
333,9102,0.0,1.0,0.0,North Dakota
334,7132,0.0,0.775,0.225,UK
335,9514,0.333,0.667,0.0,US
336,7940,0.0,0.355,0.645,US
337,5482,0.18,0.82,0.0,Liver
338,10241,0.211,0.789,0.0,lifespan
339,9364,0.0,1.0,0.0,Syria
340,7276,0.272,0.728,0.0,Vienna
341,7789,0.397,0.603,0.0,Russia
342,8906,0.0,1.0,0.0,US
343,10522,0.0,1.0,0.0,Kashmiris
344,9397,0.153,0.667,0.18,India
345,8332,0.539,0.461,0.0,Yemen
346,8974,0.0,0.809,0.191,Ukraine
347,9008,0.398,0.602,0.0,Russia
348,7236,0.0,1.0,0.0,Formaldehyde
349,10001,0.0,1.0,0.0,US
350,9613,0.0,1.0,0.0,Stand
351,6972,0.0,1.0,0.0,Washington
352,5728,0.104,0.896,0.0,Print
353,7166,0.292,0.708,0.0,PRINT
354,9965,0.089,0.763,0.148,America
355,7264,0.0,1.0,0.0,Vermont
356,8421,0.28,0.72,0.0,Canada
357,7433,0.0,0.488,0.512,Syria
358,5682,0.2,0.8,0.0,Obama
359,8594,0.0,0.805,0.195,Cuba
360,10152,0.409,0.438,0.153,Nevada
361,7913,0.0,0.777,0.223,Italy
362,9275,0.0,1.0,0.0,Moscow
363,5413,0.0,1.0,0.0,Spain
364,7742,0.0,0.742,0.258,Ceuta
365,8651,0.0,1.0,0.0,Russia
366,9381,0.209,0.791,0.0,Israel
367,6837,0.0,1.0,0.0,Jerusalem
368,9771,0.0,1.0,0.0,U.S.
369,6474,0.187,0.813,0.0,Colombia
370,7217,0.161,0.839,0.0,US
371,9701,0.0,1.0,0.0,Mosul
372,5445,0.415,0.585,0.0,Iraq
373,7313,0.0,1.0,0.0,US
374,8956,0.0,0.783,0.217,Mosul
375,6551,0.0,0.635,0.365,Daesh
376,9014,0.0,0.879,0.121,US
377,6552,0.204,0.612,0.184,US
378,5325,0.205,0.795,0.0,Nevada
379,7038,0.273,0.727,0.0,Paris
380,6728,0.153,0.675,0.172,Italy
381,5484,0.196,0.804,0.0,Mexico
382,8039,0.234,0.766,0.0,Populism
383,6936,0.0,0.787,0.213,Texas
384,10028,0.322,0.601,0.077,Mosul
385,9242,0.272,0.564,0.164,Kenya
386,9623,0.0,0.656,0.344,Mosul
387,6159,0.0,1.0,0.0,Germany
388,6367,0.0,1.0,0.0,Honduras
389,6090,0.184,0.816,0.0,North Dakota
390,6210,0.0,1.0,0.0,Saudi Arabia’s
391,8283,0.0,0.838,0.162,Jeddah
392,7271,0.0,1.0,0.0,US
393,9917,0.0,0.783,0.217,Russia
394,7524,0.0,1.0,0.0,October Surprise
395,9913,0.0,0.855,0.145,Russia
396,6633,0.126,0.56,0.314,China
397,8389,0.0,1.0,0.0,U.S.
398,9487,0.253,0.617,0.13,Spike
399,8326,0.0,0.781,0.219,China
400,7381,0.241,0.58,0.179,the United States
401,7216,0.156,0.844,0.0,France
402,9314,0.214,0.52,0.266,Israel
403,5329,0.0,1.0,0.0,U.S.
404,10270,0.0,1.0,0.0,Mexico
405,8752,0.11,0.515,0.375,Russia
406,7114,0.0,1.0,0.0,US
407,10444,0.0,1.0,0.0,US
408,7146,0.402,0.598,0.0,North Korea
409,5538,0.0,1.0,0.0,U.S.
410,9804,0.0,0.654,0.346,Banana Republic
411,8376,0.464,0.536,0.0,Israel
412,7090,0.562,0.438,0.0,Iran
413,8505,0.0,1.0,0.0,Obama
414,9432,0.0,1.0,0.0,Israel
415,7677,0.359,0.641,0.0,China
416,7095,0.0,1.0,0.0,Russia
417,6859,0.368,0.632,0.0,China
418,7305,0.0,0.828,0.172,U.S.
419,10453,0.316,0.57,0.113,Israel
420,5546,0.0,1.0,0.0,U.S.
421,7425,0.236,0.764,0.0,Syria
422,6880,0.0,0.828,0.172,Vietnam
423,9998,0.0,1.0,0.0,America
424,6830,0.0,0.803,0.197,Philippines
425,7000,0.119,0.881,0.0,Palestine
426,8417,0.254,0.746,0.0,Mujahedin
427,8422,0.0,1.0,0.0,Russia
428,10439,0.0,0.894,0.106,Spain
429,7667,0.23,0.676,0.095,U.S.
430,8032,0.273,0.727,0.0,US
431,7304,0.408,0.524,0.068,Iraq
432,10501,0.0,0.641,0.359,Turkey
433,8938,0.135,0.865,0.0,North Korea
434,6600,0.2,0.8,0.0,U.S.
435,5612,0.0,1.0,0.0,UK
436,10113,0.0,1.0,0.0,Russia
437,9409,0.27,0.73,0.0,Russia
438,7823,0.423,0.577,0.0,US
439,5596,0.0,1.0,0.0,Russia
440,9293,0.22,0.78,0.0,Romania
441,7480,0.0,0.814,0.186,Obama
442,5547,0.166,0.799,0.035,US
443,10410,0.306,0.541,0.153,Paris
444,5590,0.18,0.82,0.0,Yemen
445,5502,0.273,0.533,0.193,US
446,7127,0.0,1.0,0.0,Syria
447,9169,0.155,0.845,0.0,Spark WW3
448,5850,0.0,0.861,0.139,US
449,8762,0.127,0.573,0.299,Russia
450,9428,0.494,0.506,0.0,Syria
451,9535,0.0,0.625,0.375,US
452,6246,0.218,0.667,0.115,US
453,5602,0.0,0.882,0.118,Florida
454,9303,0.0,1.0,0.0,Brazil
455,7200,0.0,1.0,0.0,The United States
456,5336,0.0,1.0,0.0,U.S.
457,9764,0.0,1.0,0.0,America
458,7375,0.0,1.0,0.0,Russia
459,7014,0.199,0.621,0.18,U.S.
460,10304,0.0,1.0,0.0,Venezuela
461,8709,0.0,1.0,0.0,America
462,7670,0.206,0.794,0.0,Britain
463,10462,0.0,1.0,0.0,U.S.
464,9463,0.302,0.698,0.0,New York
465,10340,0.0,1.0,0.0,UK
466,9525,0.367,0.633,0.0,Deceiving
467,8949,0.0,0.896,0.104,US
468,6989,0.112,0.748,0.14,Iraq
469,7210,0.0,0.781,0.219,Texas
470,9474,0.225,0.775,0.0,India
471,9977,0.32,0.68,0.0,US
472,6167,0.0,0.748,0.252,GERMANY
473,9019,0.275,0.725,0.0,The United States
474,7484,0.174,0.826,0.0,US
475,6432,0.641,0.359,0.0,Brexit
476,8181,0.198,0.802,0.0,Washington
477,8635,0.0,1.0,0.0,Herd Mentality
478,10179,0.0,1.0,0.0,Saudi Arabia
479,5671,0.34,0.66,0.0,Canada
480,8497,0.314,0.686,0.0,UK
481,5673,0.0,1.0,0.0,Zimbabwe
482,6319,0.0,1.0,0.0,Russia
483,5812,0.424,0.576,0.0,Ukraine
484,7222,0.148,0.524,0.329,UK
485,7223,0.293,0.707,0.0,America
486,7922,0.0,0.826,0.174,Russia
487,8397,0.333,0.667,0.0,Ohio
488,8525,0.0,1.0,0.0,Florida
489,9232,0.145,0.743,0.111,Russia
490,10247,0.0,0.549,0.451,Us
491,7345,0.292,0.455,0.253,North Dakota
492,6672,0.618,0.382,0.0,Russia
493,5408,0.302,0.698,0.0,Massachusetts
494,10372,0.301,0.636,0.064,Russia
495,5439,0.0,1.0,0.0,Syria
496,5623,0.099,0.773,0.129,Germany
497,8473,0.0,1.0,0.0,Russia
498,5606,0.245,0.755,0.0,India
499,5753,0.185,0.665,0.15,Israel
500,10085,0.444,0.556,0.0,U.S.
501,6057,0.0,0.764,0.236,Palestine
502,5544,0.434,0.566,0.0,U.S.A.
503,7363,0.24,0.76,0.0,Brazil
504,8560,0.22,0.78,0.0,North Carolina
505,9097,0.25,0.714,0.036,Paris
506,9780,0.0,1.0,0.0,US
507,5899,0.0,0.857,0.143,America
508,7590,0.183,0.817,0.0,Russia
509,7587,0.0,1.0,0.0,Moscow
510,6433,0.0,1.0,0.0,America
511,5751,0.192,0.808,0.0,Woods
512,10557,0.0,0.571,0.429,Russia
513,5313,0.0,1.0,0.0,Standing Rock
514,9927,0.557,0.336,0.107,Obama
515,10441,0.0,1.0,0.0,Mosul
516,7732,0.329,0.671,0.0,US
517,9848,0.385,0.615,0.0,Russia
518,8082,0.259,0.741,0.0,Oregon
519,10457,0.344,0.656,0.0,Mosul
520,6970,0.0,1.0,0.0,Yemen
521,5939,0.156,0.844,0.0,Hudaydah
522,10016,0.144,0.625,0.231,Vermont
523,9203,0.0,1.0,0.0,Spain
524,5585,0.0,1.0,0.0,Washington
525,5701,0.0,1.0,0.0,Eritrea
526,10394,0.201,0.799,0.0,Reno
527,7635,0.0,1.0,0.0,China
528,7258,0.0,1.0,0.0,New York
529,6722,0.258,0.469,0.273,US
530,8590,0.384,0.505,0.111,Mosul
531,9375,0.0,0.473,0.527,US
532,10420,0.419,0.581,0.0,Obama
533,6223,0.095,0.785,0.12,U.S.
534,7560,0.079,0.826,0.094,America
535,7426,0.0,1.0,0.0,America
536,5674,0.113,0.721,0.166,US
537,8699,0.211,0.789,0.0,Philadelphia
538,8773,0.0,0.727,0.273,Italy
539,8933,0.28,0.72,0.0,Moscow
540,6017,0.0,0.508,0.492,Syria
541,10534,0.0,1.0,0.0,Broward County
542,6754,0.0,0.7,0.3,Florida
543,7438,0.0,1.0,0.0,U.S.
544,9723,0.0,0.874,0.126,America
545,7180,0.324,0.676,0.0,Larium
546,8801,0.0,1.0,0.0,Russia
547,8640,0.0,1.0,0.0,Pakistan
548,10042,0.0,0.851,0.149,Islamabad
549,5569,0.0,0.769,0.231,Fill City
550,8396,0.0,1.0,0.0,Orlando
551,5903,0.343,0.657,0.0,China
552,8265,0.174,0.826,0.0,America
553,8527,0.0,0.682,0.318,Israel
554,9205,0.235,0.675,0.09,Tel Aviv
555,5513,0.0,0.651,0.349,Washington
556,9964,0.085,0.736,0.178,Syria
557,6616,0.0,0.714,0.286,Russia
558,5793,0.603,0.397,0.0,Turkey
559,7209,0.0,1.0,0.0,Russia
560,7015,0.16,0.84,0.0,US
561,8715,0.759,0.241,0.0,ILLUMINATI
562,9089,0.0,1.0,0.0,America
563,10101,0.0,0.894,0.106,Arkansas
564,6905,0.0,0.714,0.286,Syria
565,8024,0.0,1.0,0.0,US
566,7526,0.216,0.784,0.0,Moscow
567,9615,0.0,0.465,0.535,America
568,6609,0.0,0.844,0.156,Russia
569,10509,0.0,1.0,0.0,South Dakota
570,6886,0.253,0.616,0.13,Chicago
571,6541,0.302,0.698,0.0,Russia
572,7221,0.0,1.0,0.0,Mosul
573,8507,0.241,0.759,0.0,US
574,9824,0.0,0.595,0.405,France
575,6632,0.0,1.0,0.0,United Arab Emirates
576,7794,0.149,0.851,0.0,New Moon
577,10538,0.231,0.769,0.0,Mexico
578,9280,0.0,1.0,0.0,Ohio
579,8336,0.0,1.0,0.0,Italy
580,8883,0.256,0.744,0.0,UK
581,6887,0.077,0.718,0.204,Oregon
582,9119,0.0,1.0,0.0,Britain
583,7325,0.661,0.339,0.0,Syria
584,10529,0.0,1.0,0.0,US
585,7330,0.0,1.0,0.0,US
586,10036,0.262,0.537,0.201,Obama
587,7478,0.209,0.791,0.0,Daesh
588,8596,0.0,1.0,0.0,U.S.
589,9401,0.0,0.724,0.276,Mosul
590,7854,0.0,0.631,0.369,Hannity
591,10238,0.0,0.686,0.314,Israel
592,9827,0.0,1.0,0.0,Israel
593,5908,0.0,1.0,0.0,Jerusalem
594,6606,0.0,1.0,0.0,Photos
595,8927,0.206,0.71,0.084,Russia
596,7625,0.459,0.541,0.0,Obama
597,6589,0.279,0.721,0.0,Portugal
598,5755,0.225,0.775,0.0,Finland
599,8919,0.0,1.0,0.0,America
600,7232,0.0,0.811,0.189,Iraq
601,6678,0.0,1.0,0.0,Syria
602,5420,0.0,1.0,0.0,Norway
603,7859,0.286,0.542,0.172,Florida
604,8550,0.0,0.842,0.158,US
605,8354,0.141,0.859,0.0,Japan
606,10549,0.233,0.767,0.0,North Korea
607,6949,0.0,0.854,0.146,Propaganda
608,8997,0.0,0.696,0.304,Washington
609,9654,0.283,0.556,0.161,US
610,10023,0.244,0.756,0.0,Saudi Arabia
611,8319,0.201,0.799,0.0,Yemen
612,10378,0.0,1.0,0.0,Michigan
613,7665,0.0,0.678,0.322,Florida
614,6115,0.0,1.0,0.0,Pakistan
615,7538,0.223,0.777,0.0,US
616,6010,0.403,0.597,0.0,Presidential City
617,5560,0.162,0.838,0.0,Syria
618,6055,0.314,0.686,0.0,California
619,5503,0.394,0.606,0.0,Paid
620,9098,0.0,1.0,0.0,Italy
621,8195,0.0,0.93,0.07,America
622,6964,0.0,1.0,0.0,US
623,9376,0.0,1.0,0.0,America
624,9767,0.481,0.519,0.0,Saudi Arabia
625,8655,0.625,0.375,0.0,Japan
626,9230,0.0,1.0,0.0,Japan
627,10214,0.0,0.75,0.25,ADHM
628,8275,0.538,0.462,0.0,Shivaay
629,6547,0.537,0.463,0.0,Russia
630,6497,0.0,1.0,0.0,Texas
631,8621,0.0,1.0,0.0,Obama
632,9185,0.405,0.595,0.0,North Dakota
633,6012,0.0,0.791,0.209,Paris
634,8056,0.0,1.0,0.0,Islamophobia
635,10329,0.0,0.803,0.197,UK
636,8208,0.251,0.58,0.168,Russia
637,7401,0.0,1.0,0.0,US
638,10120,0.181,0.819,0.0,Standing Rock
639,10472,0.0,1.0,0.0,Syria
640,10365,0.427,0.402,0.171,Russia
641,8223,0.179,0.67,0.151,Iran
642,10144,0.26,0.548,0.192,Iraq
643,6178,0.0,1.0,0.0,Syria
644,8736,0.0,0.87,0.13,Lebanon
645,10310,0.444,0.556,0.0,America
646,7666,0.0,1.0,0.0,Philadelphia
647,9698,0.31,0.69,0.0,the Synagogue of Satan
648,9497,0.272,0.728,0.0,Syria
649,10404,0.0,1.0,0.0,Russia
650,9512,0.252,0.748,0.0,Spain
651,9063,0.0,0.657,0.343,Pennsylvania
652,10367,0.13,0.87,0.0,America
653,7285,0.167,0.833,0.0,Russia
654,5888,0.075,0.925,0.0,Cuba
655,5943,0.417,0.583,0.0,UK
